Branch,Semester,Course Code,Course Name,L-T-P-S-C,Faculty
cse_a,1,Open elective(CS151/PH151/HS151),(Introduction to Cybersecurity/Introduction to Quantum Physics/Introduction to Personal Finance),3-1-0-0-2,"['(Dr. Srinivas KulKarni', 'Prof. Ravishankar', 'Dr. Siddharth R)']"
cse_a,1,MA162,Probability,3-1-0-0-2,['Dr. Lakshman']
cse_a,1,EC161,Digital Design,3-0-2-0-2,['Dr. Jagadeesha R Bhat']
cse_a,1,CS161,Problem Solving through Programming,3-0-2-0-4,['Dr. Sunil P V']
cse_a,1,HS161,English Language and Communication,3-0-0-0-3,['Dr. Rajesh N S']
cse_a,1,ASD151,Introduction to Design,3-0-0-0-1,['Dr. Sandesh S Phalke']
cse_a,3,CS201,Discrete Mathematics,3-1-0-0-4,['Dr. Animesh Roy']
cse_a,3,CS207,Object-Oriented Programming (OOP),3-0-2-0-4,['Dr. Pramod']
cse_a,3,CS208,Computer Architecture,3-0-2-0-4,['Dr. Prabhu Prasad B M']
cse_a,3,CS202,Design and Analysis of Algorithms (DAA),3-1-2-0-5,['Dr. Malay; Dr. Vivek Raj']
cse_a,3,MA201,Probability,3-1-0-0-4,['Dr. Anand P Barangi']
cse_a,3,HS206,Industrial Social Psychology,3-0-0-0-3,['Dr. Navyashree']
cse_a,5,CS309,Statistics for Computer Science,3-1-0-0-4,['Dr. Ramesh Athe']
cse_a,5,CS303,Computer Networks,3-1-2-0-5,['Dr. C B Akki - Theory Tutorial Dr. Sadhvi - Lab']
cse_a,5,CS304,Artificial Intelligence,3-1-0-0-4,['Dr. Krishendu']
cse_a,5,Theory basket ,Graph Theory/Advanced algorithm design,4-0-0-0-4,"['Dr. Pavan ', ' Dr. Suvadip Hazra']"
cse_a,5,Open electives,Cryptography and Information Security /Parallel Computing / Internet of Things,4-0-0-0-4,"['Dr. Rajendra Hegadi ', ' Dr. Pramod ', ' Dr. Prakash']"
cse_a,5,HS101,Environmental studies,0-0-0-8-2,[' -']
cse_a,7,Elective 1,4-0-0-0-4,Information Retrieval,['Dr. Krishnendu Ghosh']
cse_a,7,Elective 2,4-0-0-0-4,Virtualization and Cloud Computing,['Dr. Malay']
cse_a,7,Elective 3,4-0-0-0-4,AI for Cybersecurity ,['Dr. Abdul Wahid']
cse_a,7,Elective 4,4-0-0-0-4,Deep Computer Vision,['Dr. Dibyajyoti Guha']
cse_a,7,Mini project II,0-0-0-8-2,Computer Graphics,['Dr. Vivekraj']
cse_b,1,Open elective(CS151/PH151/HS151),(Introduction to Cybersecurity/Introduction to Quantum Physics/Introduction to Personal Finance),3-1-0-0-2,"['(Dr. Srinivas KulKarni', 'Prof. Ravishankar', 'Dr. Siddharth R)']"
cse_b,1,MA162,Probability,3-1-0-0-2,['Dr. Lakshman']
cse_b,1,EC161,Digital Design,3-0-2-0-2,['Dr. Jagadeesha R Bhat']
cse_b,1,CS161,Problem Solving through Programming,3-0-2-0-4,['Dr. Sunil C K']
cse_b,1,HS161,English Language and Communication,3-0-0-0-3,['Dr. Rajesh N S']
cse_b,1,ASD151,Introduction to Design,3-0-0-0-1,['Dr. Sandesh S Phalke']
cse_b,3,CS201,Discrete Mathematics,3-1-0-0-4,['Dr. Sadhvi']
cse_b,3,CS207,Object-Oriented Programming (OOP),3-0-2-0-4,['Dr. Vivekraj V K']
cse_b,3,CS208,Computer Architecture,3-0-2-0-4,['Dr. Prabhu Prasad B M']
cse_b,3,CS202,Design and Analysis of Algorithms (DAA),3-1-2-0-5,['Dr. Dibyajyothi']
cse_b,3,MA201,Probability,3-1-0-0-4,['Dr. Anand P Barangi']
cse_b,3,HS206,Industrial Social Psychology,3-0-0-0-3,['Dr. Navyashree']
cse_b,5,CS309,Statistics for Computer Science,3-1-0-0-4,['Dr. Sunil C K']
cse_b,5,CS303,Computer Networks,3-1-2-0-5,['Dr. C B Akki Theory Tutorial Dr. Sadhvi Lab']
cse_b,5,CS304,Artificial Intelligence,3-1-0-0-4,['Dr. Girish']
cse_b,5,Theory basket ,Graph Theory/Advanced algorithm design,4-0-0-0-4,"['Dr. Pavan ', ' Dr. Suvadip Hazra']"
cse_b,5,Open electives,Cryptography and Information Security / Parallel Computing / Internet of Things,2-1-2-0-4,"['Dr. Rajendra Hegadi ', ' Dr. Pramod ', ' Dr. Prakash']"
cse_b,5,HS101,Environmental studies,0-0-0-8-2,[' -']
cse_b,7,Elective 1,4-0-0-0-4,Information Retrieval,['Dr. Krishnendu Ghosh']
cse_b,7,Elective 2,4-0-0-0-4,Virtualization and Cloud Computing,['Dr. Malay']
cse_b,7,Elective 3,4-0-0-0-4,AI for Cybersecurity ,['Dr. Abdul Wahid']
cse_b,7,Elective 4,4-0-0-0-4,Deep Computer Vision,['Dr. Dibyajyoti Guha']
cse_b,7,Mini project II,0-0-0-8-2,Computer Graphics,['Dr. Vivekraj']
dsai,1,DS101,Mathematics for Data Science,3-1-0-0-4,['Guest Faculty']
dsai,1,DS102,Finance and Accounting,3-1-0-0-4,['Dr. Anushree Kini']
dsai,1,CS105,Problem Solving through Programming,3-1-2-0-5,['Dr. Manjunath KV']
dsai,1,DS104,Data Science and AI Applications,3-0-0-4-4,['Dr. Siddharth R']
dsai,1,HS103,Language and Communication,2-0-2-0-3,['Dr. Rajesh']
dsai,3,DS201,Data and Business Analytics,3-0-2-0-4,['Dr. Rajib Sharma']
dsai,3,CS201,Discrete Mathematics,3-1-0-0-4,['Dr. Animesh Roy']
dsai,3,CS207,Object Oriented Programming,3-0-2-0-4,['Dr. Manjunath KV']
dsai,3,CS202,Design & Analysis of Algorithms,3-1-2-0-5,['Dr. Sunil Saumya']
dsai,3,EC209,Introduction to Systems Thinking,3-1-0-0-4,['Dr. Jagadeesha R B']
dsai,3,HS205,Ethics,3-0-0-0-3,['Guest Faculty']
dsai,5,DS301,Graphs and Social Networks,3-1-0-0-4,['Dr. Utkarsh Khaire']
dsai,5,DS302,Computer Communication Networks,3-1-2-0-5,['Dr. Shirshendu Layek']
dsai,5,DS303,Algorithms and Artificial Intelligence,3-1-0-0-4,['Dr. Animesh Chaturvedi']
dsai,5,CS307,Machine Learning,3-0-2-0-4,['Dr. Sunil Saumya']
dsai,5,DS304,Visualization and App Development,2-1-2-0-4,['Dr. Siddharth R']
dsai,7,DS401,Healthcare Data Analytics,3-1-0-0-4,['Dr. Girish GN']
dsai,7,Elective 2,Elective 2,3-1-0-0-4,['Dr. Animesh Chaturvedi']
dsai,7,Elective 3,Elective 3,3-1-0-0-4,['Dr. Shirshendu Layek']
dsai,7,Elective 4,Elective 4,3-1-0-0-4,['Dr. Bharatesh Chakravarthi']
dsai,7,DS399,Mini Project II,0-0-0-8-2,['Dr. Shirshendu Layek']
dsai,7,MOOC / SWAYAM Course,MOOC / SWAYAM Course,0-0-0-8-2,['Dr. Siddharth R']
ece,1,Statistics,Statistics,3-1-0-0-2,['Dr. Ramesh Athe']
ece,1,Open elective I,(Cyber/Quantum/Personal Finance/Intro to Design),3-1-0-0-0,"['(Srinivas', 'RaviShankar', 'Siddharth R', 'Sandesh)']"
ece,1,Economics,Economics,3-0-0-0-3,['Dr. Anushree']
ece,1,Problem Solving through Programming,Problem Solving through Programming,3-0-2-0-4,['Dr. Suvadip Hazra']
ece,1,Introduction to DS and AI,Introduction to DSAI,3-1-0-0-2,['Dr. Siddharth']
ece,3,MA202,Linear Algebra,3-1-0-0-4,['Dr. Lakshman']
