room, clas/lab, capacity
C001, Classroom, 120
C002, Classroom, 120
C003, Classroom, 240
C004, Classroom, 80
L107, Lab, 40
C101, Classroom, 80
C102, Classroom, 80
C104, Classroom, 80
L106, Lab, 40
L105, Lab, 40
C103, Knowledge Bank, N/A
C201, Classroom, 40
C202, Classroom, 80
C203, Classroom, 80
C204, Classroom, 80
C205, Classroom, 80
L207, Lab, 40
L206, Lab, 40
L208, Lab, 40
C301, Classroom, 40
C302, Classroom, 80
C303, Classroom, 80
C304, Classroom, 80
C305, Classroom, 80
L307, Lab, 40
L306, Lab, 40
L308, Lab, 40
C401, Classroom, 40
C402, Classroom, 80
C403, Classroom, 80
C404, Classroom, 80
C405, Classroom, 80
L407, Lab, 40
L406, Lab, 40
L408, Lab, 40
